source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
5997893314603323008	11666.057	3.9295	0.7285	0.9576			
6078355884746327168	6573.955	3.531	-0.7591	0.1197			
6212901576441310464					5659.0	4.12	0.04
6530198332743735168					3829.0	0.74	-0.25
6666424421812496000	6241.652	3.6309	-3.6374	0.0152			
6671181768107805824							
156709307795522688					8103.0	4.85	-1.72
297809497547350912					4020.0	4.75	0.02
491270252088393344	7251.8506	4.0424	-1.3684	0.0085			
650828355848334080					4250.0	1.5	-0.68
836368847091682816	4672.1426	2.5584	0.5045	0.4803	4296.0	1.72	0.12
1829605426160928896	4872.178	2.8338	-0.4296	0.0012	4899.0	2.66	-0.16
1851203820241398912					4056.0	0.76	-0.48
1976105076989598336	6449.4707	3.5965	-0.0454	0.0705			
2025064165168789760							
2029088377661126400							
2061153607064083840							
2062010882552540416	5961.6675	4.3062	-0.3843	0.0012	6083.0	4.12	-0.2
2241523301274700416	7999.983	2.6777	-1.6575	0.0	8748.0	2.92	-2.82
2319688952983851392	4817.4634	3.04	-0.0752	0.1057	4796.0	2.7	-0.04
2416876611125209216	7388.423	3.7391	-0.6712	0.0005			
2599036447709746944							
3020556254812221184	8785.608	4.3539	-0.1951	0.27	7577.0	4.21	-1.05
3100712778484470400	9011.578	3.9883	-0.7479	0.5042			
3261733202649972992	6067.863	4.2251	-0.874	0.0			
3309540170088830464	5125.9937	4.2316	-0.3939	0.006	5202.0	5.05	0.14
3380145210483963648	8055.821	3.8668	-0.2021	0.0793			
3392483002256958848	5875.3105	4.1804	-0.4062	0.4087	5928.0	4.21	-0.18
3418764869215028992							
3440554406538720512							
3452259047117123584	6229.431	4.2436	-0.3399	0.2462	5666.0	3.76	-0.31
4065107380829809152	5519.691	4.0154	-0.1452	0.2581	5289.0	3.6	-0.16
4172479226764594048	5999.424	3.8415	-0.7394	0.2622			
4313352028072217216	9065.102	4.1049	-0.2153	0.9318			
4564270855087338240	5889.71	4.2255	-0.204	0.0005	6038.0	4.11	-0.01
4650754350926885120					4925.0	4.22	-0.65
4796028389890257024	4545.8706	2.0967	0.1047	0.5871			
4810336300343417856	6597.5205	3.7503	-0.443	0.0099	6754.0	4.12	-0.39
5164500093844340608					4604.0	1.76	-0.13
5203276810942065536					4250.0	1.5	-1.01
5323140101109547904					4250.0	1.5	-0.28
5336824622825986688							
5406661684410689792							
5458546096236113664	6424.06	3.8826	-0.7383	0.0006	6492.0	3.96	-0.2
5476476107232024704	4956.0654	2.7205	0.1018	0.0872	4799.0	2.14	0.09
5819167493338878720	8908.788	4.1495	0.7973	0.2997	7992.0	4.38	-0.16
5962227493893406464	9494.9	4.0199	-0.8982	0.589			
5963260794257182464	6503.138	3.947	-0.6258	0.4959			
6016862535884676864							
6072257237365676288	5901.77	3.8107	-0.7804	0.0088	5930.0	3.8	-0.25
6203739002449181056	7986.853	3.7247	-0.5727	0.27			
6209106435961718144	10483.709	4.0497	-1.4583	0.7675			
6447840788656142464	7305.0293	3.8012	0.0238	0.112	7502.0	4.26	0.19
6832571177207951232					3865.0	0.82	-0.2
218186060921635584	7803.7866	3.0717	-1.9009	0.0004			
272119202209825920							
335950628203469568	4756.686	2.2809	0.1681	0.7666	4340.0	1.39	-0.36
729160656586484096	4582.1133	2.4041	-0.2019	0.0028	4578.0	1.95	-0.12
1505343882144388864							
1827171176152540544	31343.098	4.076	-0.9944	2.4923			
1828308277335055488					6285.0	3.94	-0.05
1972252938010912768							
1997966048204721152					4250.0	1.5	0.25
2025299220119265920					7425.0	4.0	-4.25
2054861097715468032							
2183947065652606080	6662.4453	4.1652	-0.1461	0.0483	6018.0	3.65	-0.88
2438449510298039808	6238.12	4.1676	-0.6397	0.006	6329.0	4.13	-0.5
2987454529544612352	19915.338	3.9953	0.2304	0.0035			
3266286692617328000	6028.59	4.05	-0.1589	0.0061			
3327339309139481344					4726.0	2.15	-0.0
3330805966220492800							
3792560374110175744	5247.0693	1.6527	-0.0947	2.4389	3808.0	0.58	-0.59
4042663157430410624	4764.718	2.4592	-0.5508	0.0738	4933.0	2.38	-0.04
4044599363047725312	5770.302	4.3259	-0.3289	0.0006	5927.0	4.24	-0.02
4060011423688074624							
4261227819635436928	9720.376	3.8606	-0.9886	0.7489			
4310877714621171584							
